date,plant_energy,humidity,temperature,month,predicted_plant_energy,saving
2024-09-02,51857.0,99,299.45,9,54878.87514851552,[5.50644513]
2024-09-03,52817.5,96,299.49,9,54878.87514851552,[3.75622704]
2024-09-04,50493.5,92,300.22,9,55039.56811133287,[8.2838216]
2024-09-05,49655.5,87,300.82,9,56083.3184616338,[11.71273727]
2024-09-06,52470.0,86,300.89,9,56083.3184616338,[6.58417005]
2024-09-07,51133.25,87,301.31,9,57881.69062624213,[12.2969733]
2024-09-08,52643.0,83,301.56,9,57881.69062624213,[9.54591473]
2024-09-09,51884.25,85,301.28,9,57881.69062624213,[10.92850502]
2024-09-10,54162.0,86,301.52,9,57881.69062624213,[6.77800085]
2024-09-11,50899.75,89,300.97,9,56797.266823002654,[10.74642439]
2024-09-12,52486.25,92,300.3,9,55469.99179706458,[5.43695874]
2024-09-13,54388.75,93,300.44,9,55469.99179706458,[1.97023316]
2024-09-14,53086.75,93,300.04,9,55039.56811133287,[3.55841497]
2024-09-15,49565.25,89,300.1,9,55039.56811133287,[9.9752739]
2024-09-16,51222.5,85,300.46,9,55617.179028761624,[8.0079612]
2024-09-17,51991.0,83,300.7,9,56083.3184616338,[7.45700135]
2024-09-18,51007.75,87,300.35,9,55617.179028761624,[8.39927753]
2024-09-19,51717.5,97,299.39,9,54878.87514851552,[5.7606413]
2024-09-20,53508.25,86,300.63,9,56083.3184616338,[4.69227632]
2024-09-21,51721.5,92,300.5,9,55469.99179706458,[6.8304822]
2024-09-22,48999.75,92,300.77,9,55934.89762237327,[12.63718982]
2024-09-23,50379.0,92,300.51,9,55469.99179706458,[9.27677869]
2024-09-24,49538.25,95,300.37,9,55308.04217363559,[10.5136852]
2024-09-25,50508.5,97,299.28,9,54878.87514851552,[7.9636748]
2024-09-26,51341.0,94,300.19,9,55039.56811133287,[6.73951152]
2024-09-27,52284.75,93,299.83,9,55039.56811133287,[5.01981519]
2024-09-28,50559.75,94,300.67,9,55934.89762237327,[9.79456596]
2024-09-29,51287.0,89,301.84,9,57881.69062624213,[12.01681086]
2024-09-30,56882.0,89,301.35,9,57881.69062624213,[1.82163104]
2024-10-01,55510.5,95,300.14,10,54750.122024495955,[-1.38555678]
2024-10-02,54043.5,95,300.2,10,54750.122024495955,[1.28760297]
2024-10-03,50382.0,95,299.68,10,54750.122024495955,[7.95956917]
2024-10-04,50574.0,96,298.66,10,53751.994950324064,[5.79092582]
2024-10-05,50618.0,96,299.34,10,54750.122024495955,[7.5295312]
2024-10-06,49065.0,94,299.96,10,54910.43798029712,[10.65152659]
